x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-300.0,-10.0,0.8202546810829823,-0.08158736573573089,0.10617647058823539,0.4647058823529411
-300.0,0.0,0.8528421709635454,-0.08021769824466429,0.12170136491519816,0.4606666666666666
-290.0,-220.0,0.5628880828810385,-0.7592615241841559,-0.2835422680691258,0.4812782793958356
-290.0,-210.0,0.5397935278310624,-0.6728109574826963,-0.26130425869700796,0.4849176057711322
-290.0,-200.0,0.5229576314244984,-0.5969978631723587,-0.23972602739726048,0.48760273972602725
-290.0,-190.0,0.511090744524549,-0.5293168664617489,-0.21864087029295698,0.4895111539459937
-290.0,-180.0,0.5033947964478176,-0.46821118862981836,-0.19794925814127445,0.49075563287782964
-290.0,-170.0,0.4993394625169647,-0.4126437451283207,-0.17758867594295458,0.4914135347920611
-290.0,-160.0,0.4985537235074098,-0.36188980765935486,-0.15751912024390344,0.4915411750378464
-290.0,-150.0,0.5007673135314952,-0.31542548769944423,-0.137715329732903,0.49118172600022264
-290.0,-140.0,0.505776428190436,-0.27286282472171663,-0.11816226474737024,0.490369941156442
-290.0,-130.0,0.5134223119693151,-0.23390960405233163,-0.09885228953997134,0.4891351805510473
-290.0,-120.0,0.5235771719676108,-0.19834321208154937,-0.07978330200142793,0.4875034612407884
-290.0,-110.0,0.5361345055736839,-0.16599290102281739,-0.06095741321989297,0.48549891222693714
-290.0,-100.0,0.5510022261567755,-0.1367273205217432,-0.04237995501311241,0.4831448430989268
-290.0,-90.0,0.5680976501281565,-0.11044547495526102,-0.024058686279681298,0.4804645456373403
-290.0,-80.0,0.587343783975268,-0.08706998498593821,-0.006003121199358816,0.4774818976001769
-290.0,-70.0,0.608666566092853,-0.06654194876521924,0.01177606641834322,0.4742218091354623
-290.0,-60.0,0.6319928466986009,-0.04881694940562764,0.029267588436851497,0.4707105355386589
-290.0,-50.0,0.6572489667221935,-0.033861912058930965,0.04646004979379856,0.46697587065410323
-290.0,-40.0,0.6843598433291964,-0.02165261458941381,0.06334242117335674,0.46304723050666985
-290.0,-30.0,0.713248497118685,-0.012171722013428532,0.07990447366622332,0.45895563520685073
-290.0,-20.0,0.743835970936713,-0.005407259154117661,0.09613716787089922,0.4547335977841999
-290.0,-10.0,0.7760415971773771,-0.00135146591649149,0.112032987505157,0.4504149306036261
-290.0,0.0,0.8097835725701668,0.0,0.12758620689655154,0.4460344827586207
-280.0,-230.0,0.5111122187548296,-0.7342736241627179,-0.29864281350847943,0.469507688903749
-280.0,-220.0,0.4866467671388257,-0.6463007957772857,-0.276477387539451,0.47348205264757415
-280.0,-210.0,0.46836090089588334,-0.5687729740946699,-0.25492275809481485,0.47648650285746025
